time_days,mse_c,mse_h,old_c,old_h
1.240000000000000000e+03,1.175771012640325353e-05,4.118466677027754486e-06,1.515922194812446833e-04,4.085634645889513195e-05
1.250000000000000000e+03,1.140747735917102545e-05,4.372889634396415204e-06,1.472404401283711195e-04,4.019899643026292324e-05
1.260000000000000000e+03,1.097411222872324288e-05,4.604667083185631782e-06,1.430392003385350108e-04,3.948121957364492118e-05
1.270000000000000000e+03,1.045544377120677382e-05,4.803304364031646401e-06,1.389957324136048555e-04,3.876013943227007985e-05
1.280000000000000000e+03,9.884966857498511672e-06,4.956674274581018835e-06,1.351115352008491755e-04,3.799193291342817247e-05
1.290000000000000000e+03,9.275250704376958311e-06,5.059815521235577762e-06,1.313872635364532471e-04,3.723857662407681346e-05
1.300000000000000000e+03,8.656210411572828889e-06,5.110448910272680223e-06,1.278254494536668062e-04,3.644113166956230998e-05
1.310000000000000000e+03,8.034734491957351565e-06,5.116207830724306405e-06,1.244246086571365595e-04,3.566527811926789582e-05
1.320000000000000000e+03,7.433957762259524316e-06,5.083846190245822072e-06,1.211800190503709018e-04,3.488474249024875462e-05
1.330000000000000000e+03,6.862004738650284708e-06,5.016998329665511847e-06,1.180834660772234201e-04,3.412363730603829026e-05
1.340000000000000000e+03,6.332636985462158918e-06,4.922496373183093965e-06,1.151283213403075933e-04,3.336982626933604479e-05
1.350000000000000000e+03,5.838499419041909277e-06,4.805256139661651105e-06,1.123079782701097429e-04,3.263879625592380762e-05
1.360000000000000000e+03,5.401382168201962486e-06,4.666669155994895846e-06,1.096148698707111180e-04,3.192779331584461033e-05
1.370000000000000000e+03,5.001805675419745967e-06,4.525084932538447902e-06,1.070416328730061650e-04,3.125082366750575602e-05
1.380000000000000000e+03,4.662566425395198166e-06,4.371144314063712955e-06,1.045794488163664937e-04,3.059108712477609515e-05
1.390000000000000000e+03,4.367778274172451347e-06,4.218892172502819449e-06,1.022188371280208230e-04,2.995641261804848909e-05
1.400000000000000000e+03,4.115821866434998810e-06,4.067524059792049229e-06,9.994859283324331045e-05,2.934984877356328070e-05
1.410000000000000000e+03,3.909357019438175485e-06,3.932394065486732870e-06,9.776048682397231460e-05,2.877874612750019878e-05
1.420000000000000000e+03,3.743286924873245880e-06,3.807723942372831516e-06,9.565040090819820762e-05,2.824797957146074623e-05
1.430000000000000000e+03,3.614276920416159555e-06,3.701846935655339621e-06,9.361758566228672862e-05,2.774994936771690845e-05
1.440000000000000000e+03,3.518674930091947317e-06,3.613846956795896403e-06,9.166295785689726472e-05,2.728138497332111001e-05
1.450000000000000000e+03,3.457229013292817399e-06,3.543210823409026489e-06,8.978529513115063310e-05,2.684828723431564867e-05
1.460000000000000000e+03,3.419675522309262305e-06,3.490427616270608269e-06,8.798352791927754879e-05,2.645263521117158234e-05
1.470000000000000000e+03,3.418467940718983300e-06,3.455205842328723520e-06,8.625644841231405735e-05,2.609955481602810323e-05
1.480000000000000000e+03,3.435793587414082140e-06,3.432312496443046257e-06,8.459857781417667866e-05,2.576289625721983612e-05
1.490000000000000000e+03,3.481506837488268502e-06,3.422107283768127672e-06,8.300827175844460726e-05,2.546040923334658146e-05
1.500000000000000000e+03,3.543284492479870096e-06,3.418999312998494133e-06,8.148365304805338383e-05,2.515720552764832973e-05
1.510000000000000000e+03,3.626848865678766742e-06,3.421990186325274408e-06,8.003527182154357433e-05,2.486165612936019897e-05
1.520000000000000000e+03,3.724919224623590708e-06,3.427380306675331667e-06,7.866369560360908508e-05,2.455771209497470409e-05
1.530000000000000000e+03,3.838251359411515296e-06,3.435909547988558188e-06,7.736814586678519845e-05,2.427551953587681055e-05
1.540000000000000000e+03,3.963743438362143934e-06,3.445548372837947682e-06,7.613960769958794117e-05,2.400589801254682243e-05
1.550000000000000000e+03,4.095899384992662817e-06,3.452536930126370862e-06,7.497571641579270363e-05,2.373303505009971559e-05
1.560000000000000000e+03,4.232302671880461276e-06,3.457127149886218831e-06,7.387440564343705773e-05,2.347087865928187966e-05
1.570000000000000000e+03,4.364780124888056889e-06,3.457764250924810767e-06,7.283249578904360533e-05,2.321480496902950108e-05
1.580000000000000000e+03,4.493192591326078400e-06,3.456036665738793090e-06,7.184922287706285715e-05,2.295723970746621490e-05
1.590000000000000000e+03,4.609828920365544036e-06,3.450465101195732132e-06,7.093562453519552946e-05,2.266824594698846340e-05
1.600000000000000000e+03,4.723371148429578170e-06,3.440641421548207290e-06,7.009322871454060078e-05,2.236413820355664939e-05
1.610000000000000000e+03,4.828346391150262207e-06,3.426090188440866768e-06,6.931956158950924873e-05,2.205259079346433282e-05
1.620000000000000000e+03,4.910791631118627265e-06,3.407180429348954931e-06,6.859866698505356908e-05,2.175267945858649909e-05
1.630000000000000000e+03,4.972796887159347534e-06,3.379070221853908151e-06,6.792161730118095875e-05,2.146459155483171344e-05
1.640000000000000000e+03,5.013233931094873697e-06,3.352243766130413860e-06,6.728676089551299810e-05,2.118408519891090691e-05
1.650000000000000000e+03,5.024960955779533833e-06,3.318235485494369641e-06,6.669174763374030590e-05,2.089044573949649930e-05
1.660000000000000000e+03,5.013245754525996745e-06,3.280874807387590408e-06,6.614611629629507661e-05,2.057672827504575253e-05
1.670000000000000000e+03,4.982154678145889193e-06,3.243860646762186661e-06,6.565170770045369864e-05,2.024036621151026338e-05
1.680000000000000000e+03,4.921073013974819332e-06,3.207499048585304990e-06,6.520260649267584085e-05,1.991882709262426943e-05
1.690000000000000000e+03,4.835010258830152452e-06,3.167913746437989175e-06,6.478192517533898354e-05,1.960594818228855729e-05
1.700000000000000000e+03,4.723117854155134410e-06,3.121485178780858405e-06,6.437866977648809552e-05,1.931967926793731749e-05
1.710000000000000000e+03,4.590489425027044490e-06,3.078888539675972424e-06,6.399399717338383198e-05,1.903700467664748430e-05
1.720000000000000000e+03,4.438151790964184329e-06,3.032035920114140026e-06,6.363335705827921629e-05,1.874631561804562807e-05
1.730000000000000000e+03,4.268072643753839657e-06,2.991547262354288250e-06,6.330097676254808903e-05,1.843618701968807727e-05
1.740000000000000000e+03,4.088758487341692671e-06,2.949528834506054409e-06,6.299032247625291348e-05,1.813916605897247791e-05
1.750000000000000000e+03,3.900565388903487474e-06,2.907356247305870056e-06,6.269008008530363441e-05,1.785428139555733651e-05
1.760000000000000000e+03,3.704164782902807929e-06,2.863861482182983309e-06,6.239446520339697599e-05,1.760034137987531722e-05
1.770000000000000000e+03,3.511531303956871852e-06,2.822082251441315748e-06,6.210489664226770401e-05,1.734362376737408340e-05
1.780000000000000000e+03,3.321855729154776782e-06,2.777652298391330987e-06,6.182499055285006762e-05,1.709081152512226254e-05
1.790000000000000000e+03,3.147021516269887798e-06,2.739210003710468300e-06,6.155874143587425351e-05,1.681282810750417411e-05
1.800000000000000000e+03,2.987417246913537383e-06,2.701631728996289894e-06,6.130414840299636126e-05,1.654918378335423768e-05
1.810000000000000000e+03,2.853687419701600447e-06,2.669041805347660556e-06,6.105707143433392048e-05,1.629277721804101020e-05
1.820000000000000000e+03,2.742446440606727265e-06,2.628836455187411048e-06,6.080201637814752758e-05,1.606659861863590777e-05
1.830000000000000000e+03,2.659679466887610033e-06,2.592271812318358570e-06,6.054161349311470985e-05,1.584144956723321229e-05
1.840000000000000000e+03,2.612460775708314031e-06,2.558466803748160601e-06,6.028402276569977403e-05,1.561627504997886717e-05
1.850000000000000000e+03,2.600690095277968794e-06,2.533329734433209524e-06,6.004073657095432281e-05,1.537888601887971163e-05
1.860000000000000000e+03,2.630859398777829483e-06,2.510274498490616679e-06,5.980717833153903484e-05,1.513729148427955806e-05
1.870000000000000000e+03,2.696250248845899478e-06,2.491377472324529663e-06,5.957643224974162877e-05,1.490246540924999863e-05
1.880000000000000000e+03,2.802446942951064557e-06,2.469536866556154564e-06,5.933825741522014141e-05,1.470104143663775176e-05
1.890000000000000000e+03,2.947318989754421636e-06,2.449166004225844517e-06,5.909852916374802589e-05,1.450207764719380066e-05
1.900000000000000000e+03,3.132843175990274176e-06,2.441054903101758100e-06,5.887373481527902186e-05,1.429680742148775607e-05
1.910000000000000000e+03,3.351426130393519998e-06,2.436191607557702810e-06,5.866964420420117676e-05,1.406946284987498075e-05
1.920000000000000000e+03,3.608732185966800898e-06,2.440305252093821764e-06,5.848225555382668972e-05,1.386242001899518073e-05
1.930000000000000000e+03,3.887433649651939049e-06,2.441594915580935776e-06,5.829942892887629569e-05,1.366073502140352502e-05
1.940000000000000000e+03,4.185460966255050153e-06,2.448568920954130590e-06,5.812403105664998293e-05,1.349136073258705437e-05
1.950000000000000000e+03,4.507432549871737137e-06,2.467281774443108588e-06,5.796566620119847357e-05,1.328882990492274985e-05
1.960000000000000000e+03,4.839805114897899330e-06,2.492639850970590487e-06,5.783588130725547671e-05,1.310103925789007917e-05
1.970000000000000000e+03,5.172643341211369261e-06,2.522769591450924054e-06,5.773880184278823435e-05,1.289717602048767731e-05
1.980000000000000000e+03,5.509461516339797527e-06,2.561682322266278788e-06,5.766932736150920391e-05,1.271994460694259033e-05
1.990000000000000000e+03,5.841449819854460657e-06,2.603121401989483275e-06,5.761739885201677680e-05,1.254554535989882424e-05
2.000000000000000000e+03,6.153943104436621070e-06,2.657800905581098050e-06,5.759272607974708080e-05,1.235624949913471937e-05
2.010000000000000000e+03,6.442180165322497487e-06,2.720108113862806931e-06,5.760561180068179965e-05,1.216012788063380867e-05
2.020000000000000000e+03,6.710399702569702640e-06,2.789974132610950619e-06,5.765635432908311486e-05,1.195436288980999961e-05
2.030000000000000000e+03,6.922360626049339771e-06,2.870729076676070690e-06,5.774392047896981239e-05,1.174130738945677876e-05
2.040000000000000000e+03,7.094248758221510798e-06,2.961237669296679087e-06,5.787383997812867165e-05,1.151480228145373985e-05
2.050000000000000000e+03,7.196815204224549234e-06,3.065109240196761675e-06,5.805906403111293912e-05,1.126529878092696890e-05
2.060000000000000000e+03,7.241065304697258398e-06,3.180954990966711193e-06,5.830382724525406957e-05,1.101804264180827886e-05
2.070000000000000000e+03,7.213976459752302617e-06,3.303474841231945902e-06,5.859213706571608782e-05,1.079798312275670469e-05
2.080000000000000000e+03,7.119914698705542833e-06,3.432472794884233736e-06,5.890312968404032290e-05,1.062322098732693121e-05
2.090000000000000000e+03,6.957524874451337382e-06,3.566386112652253360e-06,5.921312549617141485e-05,1.049788261298090219e-05
2.100000000000000000e+03,6.738678166584577411e-06,3.703766424223431386e-06,5.951466300757601857e-05,1.040208280755905434e-05
2.110000000000000000e+03,6.467973889812128618e-06,3.846543677354929969e-06,5.980362038826569915e-05,1.034503111441154033e-05
2.120000000000000000e+03,6.160903467389289290e-06,3.994742655777372420e-06,6.007648698869161308e-05,1.033330590871628374e-05
2.130000000000000000e+03,5.834741841681534424e-06,4.140510100114624947e-06,6.033394311089068651e-05,1.036452977132285014e-05
2.140000000000000000e+03,5.504912223841529340e-06,4.279762833903077990e-06,6.057739301468245685e-05,1.044607597577851266e-05
2.150000000000000000e+03,5.190223419049289078e-06,4.411752343003172427e-06,6.081196988816373050e-05,1.057856024999637157e-05
2.160000000000000000e+03,4.906722097075544298e-06,4.526757038547657430e-06,6.104181375121697783e-05,1.076912212738534436e-05
2.170000000000000000e+03,4.655326847569085658e-06,4.626568170351674780e-06,6.127088272478431463e-05,1.100079680327326059e-05
2.180000000000000000e+03,4.440912562131416053e-06,4.698297288996400312e-06,6.150353146949782968e-05,1.128016265283804387e-05
2.190000000000000000e+03,4.255920430296100676e-06,4.740931217384058982e-06,6.174303416628390551e-05,1.160862120741512626e-05
2.200000000000000000e+03,4.101678314327728003e-06,4.757887836603913456e-06,6.199025665409862995e-05,1.197811889142030850e-05
2.210000000000000000e+03,3.965957603213610128e-06,4.746513695863541216e-06,6.224587559700012207e-05,1.237435481016291305e-05
2.220000000000000000e+03,3.844968887278810143e-06,4.710133453045273200e-06,6.250803562579676509e-05,1.278970648854738101e-05
2.230000000000000000e+03,3.738560508281807415e-06,4.650705250242026523e-06,6.277082138694822788e-05,1.322417119808960706e-05
2.240000000000000000e+03,3.638633870650664903e-06,4.579263986670412123e-06,6.302667316049337387e-05,1.366426477034110576e-05
2.250000000000000000e+03,3.551187546690925956e-06,4.502149295149138197e-06,6.326820584945380688e-05,1.410795539413811639e-05
2.260000000000000000e+03,3.475355924820178188e-06,4.430698936630506068e-06,6.348882743623107672e-05,1.453609002055600286e-05
2.270000000000000000e+03,3.416462732275249436e-06,4.371249360701767728e-06,6.367982132360339165e-05,1.495156539021991193e-05
2.280000000000000000e+03,3.384838237252552062e-06,4.326250746089499444e-06,6.383312575053423643e-05,1.533817157906014472e-05
2.290000000000000000e+03,3.381611350050661713e-06,4.309073574404465035e-06,6.394243246177211404e-05,1.570798849570564926e-05
2.300000000000000000e+03,3.409960072531248443e-06,4.318173523643054068e-06,6.400316487997770309e-05,1.604491262696683407e-05
2.310000000000000000e+03,3.468418981356080621e-06,4.357653779152315110e-06,6.401153223123401403e-05,1.635483567952178419e-05
2.320000000000000000e+03,3.564335202099755406e-06,4.426089617481920868e-06,6.396576645784080029e-05,1.663036891841329634e-05
2.330000000000000000e+03,3.685609499370912090e-06,4.525612894212827086e-06,6.386512541212141514e-05,1.687022995611187071e-05
2.340000000000000000e+03,3.833875325653934851e-06,4.652190455090021715e-06,6.371096969814971089e-05,1.708187301119323820e-05
2.350000000000000000e+03,4.002570676675532013e-06,4.794979759026318789e-06,6.350483454298228025e-05,1.725150286802090704e-05
2.360000000000000000e+03,4.183161763648968190e-06,4.954205905960407108e-06,6.325038702925667167e-05,1.739797698974143714e-05
2.370000000000000000e+03,4.360729235486360267e-06,5.126628821017220616e-06,6.295226194197311997e-05,1.750329647620674223e-05
2.380000000000000000e+03,4.536602318694349378e-06,5.299023541738279164e-06,6.261574890231713653e-05,1.759097904141526669e-05
2.390000000000000000e+03,4.696779797086492181e-06,5.469583811645861715e-06,6.224713433766737580e-05,1.764243461366277188e-05
2.400000000000000000e+03,4.838970198761671782e-06,5.635520210489630699e-06,6.185229722177609801e-05,1.767639696481637657e-05
2.410000000000000000e+03,4.952567906002514064e-06,5.788419002783484757e-06,6.143735663499683142e-05,1.768297806847840548e-05
2.420000000000000000e+03,5.035152753407601267e-06,5.926890480623114854e-06,6.100886093918234110e-05,1.768102447385899723e-05
2.430000000000000000e+03,5.086024884803919122e-06,6.044692781870253384e-06,6.057408609194681048e-05,1.765071647241711617e-05
2.440000000000000000e+03,5.107329343445599079e-06,6.138001936051296070e-06,6.013950769556686282e-05,1.761131716193631291e-05
2.450000000000000000e+03,5.090609192848205566e-06,6.208755621628370136e-06,5.971113932901062071e-05,1.755607081577181816e-05
2.460000000000000000e+03,5.044870704296045005e-06,6.255528660403797403e-06,5.929386679781600833e-05,1.748440627125091851e-05
2.470000000000000000e+03,4.972650003765011206e-06,6.280010893533471972e-06,5.889307067263871431e-05,1.740642983349971473e-05
