time_days,mse_c,mse_h,old_c,old_h
1.060000000000000000e+03,2.108036642312072217e-05,4.049734707223251462e-05,2.195731067331507802e-04,4.023808287456631660e-05
1.070000000000000000e+03,2.115535971825011075e-05,4.417951640789397061e-05,2.191736712120473385e-04,4.095654730917885900e-05
1.080000000000000000e+03,2.148670682800002396e-05,4.778108268510550261e-05,2.179745060857385397e-04,4.161772085353732109e-05
1.090000000000000000e+03,2.207092802564147860e-05,5.121847061673179269e-05,2.160521689802408218e-04,4.222081406624056399e-05
1.100000000000000000e+03,2.287057213834486902e-05,5.443086047307588160e-05,2.134964452125132084e-04,4.273763624951243401e-05
1.110000000000000000e+03,2.386190317338332534e-05,5.739126572734676301e-05,2.103970909956842661e-04,4.318041465012356639e-05
1.120000000000000000e+03,2.495229637133888900e-05,6.007870979374274611e-05,2.068381290882825851e-04,4.353027179604396224e-05
1.130000000000000000e+03,2.607661008369177580e-05,6.248423596844077110e-05,2.028971648542210460e-04,4.378672747407108545e-05
1.140000000000000000e+03,2.716936614888254553e-05,6.462199235102161765e-05,1.986497954931110144e-04,4.395547148305922747e-05
1.150000000000000000e+03,2.811890226439572871e-05,6.651321018580347300e-05,1.941666851053014398e-04,4.403315688250586390e-05
1.160000000000000000e+03,2.892143311328254640e-05,6.815902452217414975e-05,1.895100867841392756e-04,4.401836486067622900e-05
1.170000000000000000e+03,2.950333873741328716e-05,6.957996811252087355e-05,1.847379171522334218e-04,4.389292735140770674e-05
1.180000000000000000e+03,2.982800651807337999e-05,7.080583600327372551e-05,1.798997691366821527e-04,4.368478403193876147e-05
1.190000000000000000e+03,2.991664587170816958e-05,7.185029971878975630e-05,1.750399533193558455e-04,4.338234430178999901e-05
1.200000000000000000e+03,2.974390372401103377e-05,7.270692731253802776e-05,1.701973960734903812e-04,4.302104935050010681e-05
1.210000000000000000e+03,2.932856659754179418e-05,7.337459828704595566e-05,1.654050283832475543e-04,4.256777538103051484e-05
1.220000000000000000e+03,2.873587436624802649e-05,7.384897617157548666e-05,1.606918231118470430e-04,4.205354343866929412e-05
1.230000000000000000e+03,2.794019746943376958e-05,7.415370782837271690e-05,1.560805249027907848e-04,4.147250001551583409e-05
1.240000000000000000e+03,2.703492282307706773e-05,7.429547258652746677e-05,1.515922194812446833e-04,4.085634645889513195e-05
1.250000000000000000e+03,2.602648964966647327e-05,7.428942626575008035e-05,1.472404401283711195e-04,4.019899643026292324e-05
1.260000000000000000e+03,2.497425339242909104e-05,7.414817082462832332e-05,1.430392003385350108e-04,3.948121957364492118e-05
1.270000000000000000e+03,2.389963265159167349e-05,7.386099605355411768e-05,1.389957324136048555e-04,3.876013943227007985e-05
1.280000000000000000e+03,2.282099194417241961e-05,7.349233783315867186e-05,1.351115352008491755e-04,3.799193291342817247e-05
