time_days,mse_c,mse_h,old_c,old_h
1.660000000000000000e+03,2.091630449285730720e-06,8.427074362771236338e-07,6.614611629629507661e-05,2.057672645605634898e-05
1.670000000000000000e+03,2.067372179226367734e-06,8.256561159214470536e-07,6.565170042449608445e-05,2.024036439252085984e-05
1.680000000000000000e+03,2.024151626756065525e-06,8.028645197555306368e-07,6.520260649267584085e-05,1.991882345464546233e-05
1.690000000000000000e+03,1.962463102245237678e-06,7.698753847762418445e-07,6.478192517533898354e-05,1.960594636329915375e-05
1.700000000000000000e+03,1.883266008917416912e-06,7.319014798667922150e-07,6.437866977648809552e-05,1.931968108692672104e-05
1.710000000000000000e+03,1.789122393347497564e-06,6.895189130773360375e-07,6.399399717338383198e-05,1.903700467664748430e-05
1.720000000000000000e+03,1.683027107901580166e-06,6.426180902963096742e-07,6.363335705827921629e-05,1.874631561804562807e-05
1.730000000000000000e+03,1.568659399708849378e-06,5.846726480740471743e-07,6.330097676254808903e-05,1.843618520069867373e-05
1.740000000000000000e+03,1.449330625291622709e-06,5.281418680169736035e-07,6.299032247625291348e-05,1.813916787796188146e-05
1.750000000000000000e+03,1.326073515883763321e-06,4.681533596340159420e-07,6.269008008530363441e-05,1.785428139555733651e-05
1.760000000000000000e+03,1.201550617224711459e-06,4.140707119404396508e-07,6.239446520339697599e-05,1.760034137987531722e-05
1.770000000000000000e+03,1.080824063137697522e-06,3.615611774421267910e-07,6.210489664226770401e-05,1.734362194838467985e-05
1.780000000000000000e+03,9.682081554274191149e-07,3.123015801520523382e-07,6.182497600093483925e-05,1.709081334411166608e-05
1.790000000000000000e+03,8.654432690491375979e-07,2.631778386330552166e-07,6.155874871183186769e-05,1.681282628851477057e-05
1.800000000000000000e+03,7.751389716759149451e-07,2.196170640900163562e-07,6.130414840299636126e-05,1.654918378335423768e-05
1.810000000000000000e+03,6.999034098953416105e-07,1.826773967650296981e-07,6.105707871029153466e-05,1.629277539905160666e-05
1.820000000000000000e+03,6.417550935111648869e-07,1.548269494833220961e-07,6.080202001612633467e-05,1.606659679964650422e-05
1.830000000000000000e+03,6.004706278872617986e-07,1.349605582845470053e-07,6.054161349311470985e-05,1.584144774824380875e-05
1.840000000000000000e+03,5.777352498625987209e-07,1.236915636582125444e-07,6.028401912772096694e-05,1.561627504997886717e-05
1.850000000000000000e+03,5.746227316194563173e-07,1.217392053831645171e-07,6.004073657095432281e-05,1.537888601887971163e-05
